seed,criterion,alternative_id,active,v
23001,C1,A1,True,-0.19999999999999996
23001,C1,A2,True,0.6000000000000001
23001,C1,A3,True,1.0
23001,C1,A4,True,-1.0
23001,C1,A5,True,-0.6
23001,C1,A6,True,0.20000000000000018
23001,C2,A1,True,0.20000000000000018
23001,C2,A2,True,-0.6
23001,C2,A3,True,-1.0
23001,C2,A4,True,-0.19999999999999996
23001,C2,A5,True,1.0
23001,C2,A6,True,0.6000000000000001
23001,C3,A1,True,0.0
23001,C3,A2,True,-0.5
23001,C3,A3,True,1.0
23001,C3,A4,True,0.5
23001,C3,A5,False,
23001,C3,A6,True,-1.0
23001,C4,A1,True,0.6000000000000001
23001,C4,A2,True,1.0
23001,C4,A3,True,0.20000000000000018
23001,C4,A4,True,-1.0
23001,C4,A5,True,-0.19999999999999996
23001,C4,A6,True,-0.6
23001,C5,A1,True,-1.0
23001,C5,A2,False,
23001,C5,A3,True,1.0
23001,C5,A4,True,-0.5
23001,C5,A5,True,0.5
23001,C5,A6,True,0.0
23001,C6,A1,True,-0.6
23001,C6,A2,True,0.20000000000000018
23001,C6,A3,True,0.6000000000000001
23001,C6,A4,True,-1.0
23001,C6,A5,True,-0.19999999999999996
23001,C6,A6,True,1.0
23001,C7,A1,True,-1.0
23001,C7,A2,True,1.0
23001,C7,A3,True,-0.19999999999999996
23001,C7,A4,True,0.6000000000000001
23001,C7,A5,True,-0.6
23001,C7,A6,True,0.20000000000000018
23002,C1,A1,True,0.6000000000000001
23002,C1,A2,True,-0.6
23002,C1,A3,True,1.0
23002,C1,A4,True,0.20000000000000018
23002,C1,A5,True,-0.19999999999999996
23002,C1,A6,True,-1.0
23002,C2,A1,True,-0.19999999999999996
23002,C2,A2,True,-1.0
23002,C2,A3,True,1.0
23002,C2,A4,True,0.20000000000000018
23002,C2,A5,True,0.6000000000000001
23002,C2,A6,True,-0.6
23002,C3,A1,True,0.5
23002,C3,A2,True,-0.5
23002,C3,A3,True,0.0
23002,C3,A4,True,-1.0
23002,C3,A5,False,
23002,C3,A6,True,1.0
23002,C4,A1,True,0.6000000000000001
23002,C4,A2,True,-0.6
23002,C4,A3,True,0.20000000000000018
23002,C4,A4,True,-1.0
23002,C4,A5,True,1.0
23002,C4,A6,True,-0.19999999999999996
23002,C5,A1,True,0.5
23002,C5,A2,False,
23002,C5,A3,True,-1.0
23002,C5,A4,True,-0.5
23002,C5,A5,True,1.0
23002,C5,A6,True,0.0
23002,C6,A1,True,-1.0
23002,C6,A2,True,0.20000000000000018
23002,C6,A3,True,1.0
23002,C6,A4,True,-0.19999999999999996
23002,C6,A5,True,-0.6
23002,C6,A6,True,0.6000000000000001
23002,C7,A1,True,-0.19999999999999996
23002,C7,A2,True,0.20000000000000018
23002,C7,A3,True,0.6000000000000001
23002,C7,A4,True,-0.6
23002,C7,A5,True,1.0
23002,C7,A6,True,-1.0
23003,C1,A1,True,-1.0
23003,C1,A2,True,0.6000000000000001
23003,C1,A3,True,-0.19999999999999996
23003,C1,A4,True,1.0
23003,C1,A5,True,0.20000000000000018
23003,C1,A6,True,-0.6
23003,C2,A1,True,-1.0
23003,C2,A2,True,-0.6
23003,C2,A3,True,-0.19999999999999996
23003,C2,A4,True,0.6000000000000001
23003,C2,A5,True,1.0
23003,C2,A6,True,0.20000000000000018
23003,C3,A1,True,0.5
23003,C3,A2,True,-1.0
23003,C3,A3,True,0.0
23003,C3,A4,True,1.0
23003,C3,A5,False,
23003,C3,A6,True,-0.5
23003,C4,A1,True,0.6000000000000001
23003,C4,A2,True,-0.6
23003,C4,A3,True,1.0
23003,C4,A4,True,-0.19999999999999996
23003,C4,A5,True,0.20000000000000018
23003,C4,A6,True,-1.0
23003,C5,A1,True,0.5
23003,C5,A2,False,
23003,C5,A3,True,-1.0
23003,C5,A4,True,-0.5
23003,C5,A5,True,1.0
23003,C5,A6,True,0.0
23003,C6,A1,True,0.20000000000000018
23003,C6,A2,True,-0.6
23003,C6,A3,True,-1.0
23003,C6,A4,True,0.6000000000000001
23003,C6,A5,True,1.0
23003,C6,A6,True,-0.19999999999999996
23003,C7,A1,True,1.0
23003,C7,A2,True,-0.19999999999999996
23003,C7,A3,True,-0.6
23003,C7,A4,True,0.6000000000000001
23003,C7,A5,True,-1.0
23003,C7,A6,True,0.20000000000000018
23004,C1,A1,True,-0.19999999999999996
23004,C1,A2,True,0.6000000000000001
23004,C1,A3,True,1.0
23004,C1,A4,True,0.20000000000000018
23004,C1,A5,True,-1.0
23004,C1,A6,True,-0.6
23004,C2,A1,True,0.6000000000000001
23004,C2,A2,True,-0.6
23004,C2,A3,True,-1.0
23004,C2,A4,True,1.0
23004,C2,A5,True,0.20000000000000018
23004,C2,A6,True,-0.19999999999999996
23004,C3,A1,True,0.0
23004,C3,A2,True,-0.5
23004,C3,A3,True,-1.0
23004,C3,A4,True,0.5
23004,C3,A5,False,
23004,C3,A6,True,1.0
23004,C4,A1,True,-1.0
23004,C4,A2,True,-0.19999999999999996
23004,C4,A3,True,-0.6
23004,C4,A4,True,0.6000000000000001
23004,C4,A5,True,0.20000000000000018
23004,C4,A6,True,1.0
23004,C5,A1,True,-0.5
23004,C5,A2,False,
23004,C5,A3,True,1.0
23004,C5,A4,True,0.5
23004,C5,A5,True,0.0
23004,C5,A6,True,-1.0
23004,C6,A1,True,-0.6
23004,C6,A2,True,1.0
23004,C6,A3,True,-1.0
23004,C6,A4,True,0.6000000000000001
23004,C6,A5,True,0.20000000000000018
23004,C6,A6,True,-0.19999999999999996
23004,C7,A1,True,1.0
23004,C7,A2,True,-1.0
23004,C7,A3,True,-0.19999999999999996
23004,C7,A4,True,-0.6
23004,C7,A5,True,0.20000000000000018
23004,C7,A6,True,0.6000000000000001
23005,C1,A1,True,1.0
23005,C1,A2,True,-0.6
23005,C1,A3,True,-0.19999999999999996
23005,C1,A4,True,-1.0
23005,C1,A5,True,0.6000000000000001
23005,C1,A6,True,0.20000000000000018
23005,C2,A1,True,0.6000000000000001
23005,C2,A2,True,0.20000000000000018
23005,C2,A3,True,-1.0
23005,C2,A4,True,-0.19999999999999996
23005,C2,A5,True,-0.6
23005,C2,A6,True,1.0
23005,C3,A1,True,0.5
23005,C3,A2,True,1.0
23005,C3,A3,True,-1.0
23005,C3,A4,True,0.0
23005,C3,A5,False,
23005,C3,A6,True,-0.5
23005,C4,A1,True,-1.0
23005,C4,A2,True,-0.19999999999999996
23005,C4,A3,True,0.20000000000000018
23005,C4,A4,True,0.6000000000000001
23005,C4,A5,True,1.0
23005,C4,A6,True,-0.6
23005,C5,A1,True,0.0
23005,C5,A2,False,
23005,C5,A3,True,1.0
23005,C5,A4,True,0.5
23005,C5,A5,True,-0.5
23005,C5,A6,True,-1.0
23005,C6,A1,True,0.20000000000000018
23005,C6,A2,True,1.0
23005,C6,A3,True,-1.0
23005,C6,A4,True,-0.19999999999999996
23005,C6,A5,True,-0.6
23005,C6,A6,True,0.6000000000000001
23005,C7,A1,True,-1.0
23005,C7,A2,True,0.20000000000000018
23005,C7,A3,True,-0.6
23005,C7,A4,True,-0.19999999999999996
23005,C7,A5,True,0.6000000000000001
23005,C7,A6,True,1.0
