seed,candidate_id,dominant_alternative,dominated_alternative,contexts_dominated,context_count,dominance_share,structural_dominance
29001,d29_kernel,A1,A2,0,1000,0.0,False
29001,d29_kernel,A1,A3,0,1000,0.0,False
29001,d29_kernel,A1,A4,0,1000,0.0,False
29001,d29_kernel,A1,A5,0,1000,0.0,False
29001,d29_kernel,A1,A6,0,1000,0.0,False
29001,d29_kernel,A2,A1,0,1000,0.0,False
29001,d29_kernel,A2,A3,0,1000,0.0,False
29001,d29_kernel,A2,A4,0,1000,0.0,False
29001,d29_kernel,A2,A5,0,1000,0.0,False
29001,d29_kernel,A2,A6,0,1000,0.0,False
29001,d29_kernel,A3,A1,0,1000,0.0,False
29001,d29_kernel,A3,A2,0,1000,0.0,False
29001,d29_kernel,A3,A4,0,1000,0.0,False
29001,d29_kernel,A3,A5,0,1000,0.0,False
29001,d29_kernel,A3,A6,0,1000,0.0,False
29001,d29_kernel,A4,A1,0,1000,0.0,False
29001,d29_kernel,A4,A2,0,1000,0.0,False
29001,d29_kernel,A4,A3,0,1000,0.0,False
29001,d29_kernel,A4,A5,0,1000,0.0,False
29001,d29_kernel,A4,A6,0,1000,0.0,False
29001,d29_kernel,A5,A1,0,1000,0.0,False
29001,d29_kernel,A5,A2,0,1000,0.0,False
29001,d29_kernel,A5,A3,0,1000,0.0,False
29001,d29_kernel,A5,A4,0,1000,0.0,False
29001,d29_kernel,A5,A6,0,1000,0.0,False
29001,d29_kernel,A6,A1,0,1000,0.0,False
29001,d29_kernel,A6,A2,0,1000,0.0,False
29001,d29_kernel,A6,A3,0,1000,0.0,False
29001,d29_kernel,A6,A4,0,1000,0.0,False
29001,d29_kernel,A6,A5,0,1000,0.0,False
29002,d29_kernel,A1,A2,0,1000,0.0,False
29002,d29_kernel,A1,A3,0,1000,0.0,False
29002,d29_kernel,A1,A4,0,1000,0.0,False
29002,d29_kernel,A1,A5,0,1000,0.0,False
29002,d29_kernel,A1,A6,0,1000,0.0,False
29002,d29_kernel,A2,A1,0,1000,0.0,False
29002,d29_kernel,A2,A3,0,1000,0.0,False
29002,d29_kernel,A2,A4,0,1000,0.0,False
29002,d29_kernel,A2,A5,0,1000,0.0,False
29002,d29_kernel,A2,A6,0,1000,0.0,False
29002,d29_kernel,A3,A1,0,1000,0.0,False
29002,d29_kernel,A3,A2,0,1000,0.0,False
29002,d29_kernel,A3,A4,0,1000,0.0,False
29002,d29_kernel,A3,A5,0,1000,0.0,False
29002,d29_kernel,A3,A6,0,1000,0.0,False
29002,d29_kernel,A4,A1,0,1000,0.0,False
29002,d29_kernel,A4,A2,0,1000,0.0,False
29002,d29_kernel,A4,A3,0,1000,0.0,False
29002,d29_kernel,A4,A5,0,1000,0.0,False
29002,d29_kernel,A4,A6,0,1000,0.0,False
29002,d29_kernel,A5,A1,0,1000,0.0,False
29002,d29_kernel,A5,A2,0,1000,0.0,False
29002,d29_kernel,A5,A3,0,1000,0.0,False
29002,d29_kernel,A5,A4,0,1000,0.0,False
29002,d29_kernel,A5,A6,0,1000,0.0,False
29002,d29_kernel,A6,A1,0,1000,0.0,False
29002,d29_kernel,A6,A2,0,1000,0.0,False
29002,d29_kernel,A6,A3,0,1000,0.0,False
29002,d29_kernel,A6,A4,0,1000,0.0,False
29002,d29_kernel,A6,A5,0,1000,0.0,False
29003,d29_kernel,A1,A2,0,1000,0.0,False
29003,d29_kernel,A1,A3,0,1000,0.0,False
29003,d29_kernel,A1,A4,0,1000,0.0,False
29003,d29_kernel,A1,A5,0,1000,0.0,False
29003,d29_kernel,A1,A6,0,1000,0.0,False
29003,d29_kernel,A2,A1,0,1000,0.0,False
29003,d29_kernel,A2,A3,0,1000,0.0,False
29003,d29_kernel,A2,A4,0,1000,0.0,False
29003,d29_kernel,A2,A5,0,1000,0.0,False
29003,d29_kernel,A2,A6,0,1000,0.0,False
29003,d29_kernel,A3,A1,0,1000,0.0,False
29003,d29_kernel,A3,A2,0,1000,0.0,False
29003,d29_kernel,A3,A4,0,1000,0.0,False
29003,d29_kernel,A3,A5,0,1000,0.0,False
29003,d29_kernel,A3,A6,0,1000,0.0,False
29003,d29_kernel,A4,A1,0,1000,0.0,False
29003,d29_kernel,A4,A2,0,1000,0.0,False
29003,d29_kernel,A4,A3,0,1000,0.0,False
29003,d29_kernel,A4,A5,0,1000,0.0,False
29003,d29_kernel,A4,A6,0,1000,0.0,False
29003,d29_kernel,A5,A1,0,1000,0.0,False
29003,d29_kernel,A5,A2,0,1000,0.0,False
29003,d29_kernel,A5,A3,0,1000,0.0,False
29003,d29_kernel,A5,A4,0,1000,0.0,False
29003,d29_kernel,A5,A6,0,1000,0.0,False
29003,d29_kernel,A6,A1,0,1000,0.0,False
29003,d29_kernel,A6,A2,0,1000,0.0,False
29003,d29_kernel,A6,A3,0,1000,0.0,False
29003,d29_kernel,A6,A4,0,1000,0.0,False
29003,d29_kernel,A6,A5,0,1000,0.0,False
29004,d29_kernel,A1,A2,0,1000,0.0,False
29004,d29_kernel,A1,A3,0,1000,0.0,False
29004,d29_kernel,A1,A4,0,1000,0.0,False
29004,d29_kernel,A1,A5,0,1000,0.0,False
29004,d29_kernel,A1,A6,0,1000,0.0,False
29004,d29_kernel,A2,A1,0,1000,0.0,False
29004,d29_kernel,A2,A3,0,1000,0.0,False
29004,d29_kernel,A2,A4,0,1000,0.0,False
29004,d29_kernel,A2,A5,0,1000,0.0,False
29004,d29_kernel,A2,A6,0,1000,0.0,False
29004,d29_kernel,A3,A1,0,1000,0.0,False
29004,d29_kernel,A3,A2,0,1000,0.0,False
29004,d29_kernel,A3,A4,0,1000,0.0,False
29004,d29_kernel,A3,A5,0,1000,0.0,False
29004,d29_kernel,A3,A6,0,1000,0.0,False
29004,d29_kernel,A4,A1,0,1000,0.0,False
29004,d29_kernel,A4,A2,0,1000,0.0,False
